,Id,MSZoning,LotArea,Street,Alley,LotShape,Utilities,LandSlope,Neighborhood,BldgType,YearBuilt,RoofStyle,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageArea,GarageQual,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,YrSold,SalePrice
38,38,RL,8532,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1954,Hip,CBlock,TA,1297,Gd,Y,1297,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,2,498,TA,0,0,,,,2009,153000
39,39,RL,7922,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1953,Gable,CBlock,TA,1057,TA,Y,1057,0,1057,1,0,1,0,3,1,Gd,5,0,,Detchd,1,246,TA,0,0,,,,2010,109000
40,40,RL,6040,Pave,,Reg,AllPub,Gtl,Edwards,Duplex,1955,Gable,PConc,,0,TA,N,1152,0,1152,0,0,2,0,2,2,Fa,6,0,,,0,0,,0,0,,,,2008,82000
41,41,RL,8658,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1965,Gable,CBlock,TA,1088,Ex,Y,1324,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,2,440,TA,0,0,,GdWo,,2006,160000
42,42,RL,16905,Pave,,Reg,AllPub,Gtl,Timber,1Fam,1959,Gable,CBlock,TA,1350,Gd,Y,1328,0,1328,0,1,1,1,2,1,TA,5,2,Gd,Attchd,1,308,TA,0,0,,,,2007,170000
43,43,RL,9180,Pave,,IR1,AllPub,Gtl,SawyerW,1Fam,1983,Gable,CBlock,Gd,840,Gd,Y,884,0,884,1,0,1,0,2,1,Gd,5,0,,Attchd,2,504,TA,240,0,,MnPrv,,2007,144000
44,44,RL,9200,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,1975,Hip,CBlock,Gd,938,TA,Y,938,0,938,1,0,1,0,3,1,TA,5,0,,Detchd,1,308,TA,145,0,,MnPrv,,2008,130250
45,45,RL,7945,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1959,Gable,CBlock,TA,1150,Ex,Y,1150,0,1150,1,0,1,0,3,1,TA,6,0,,Attchd,1,300,TA,0,0,,,,2006,141000
46,46,RL,7658,Pave,,Reg,AllPub,Gtl,NridgHt,TwnhsE,2005,Hip,PConc,Ex,1752,Ex,Y,1752,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2,576,TA,196,0,,,,2010,319900
47,47,RL,12822,Pave,,IR1,AllPub,Gtl,Mitchel,1Fam,2003,Gable,PConc,Ex,1434,Ex,Y,1518,631,2149,1,0,1,1,1,1,Gd,6,1,Ex,Attchd,2,670,TA,168,0,,,,2009,239686
48,48,FV,11096,Pave,,Reg,AllPub,Gtl,Somerst,1Fam,2006,Gable,PConc,Gd,1656,Ex,Y,1656,0,1656,0,0,2,0,3,1,Gd,7,0,,Attchd,3,826,TA,0,0,,,,2007,249700
49,49,RM,4456,Pave,,Reg,AllPub,Gtl,OldTown,2fmCon,1920,Gable,BrkTil,TA,736,Gd,Y,736,716,1452,0,0,2,0,2,3,TA,8,0,,,0,0,,0,0,,,,2009,113000
50,50,RL,7742,Pave,,Reg,AllPub,Gtl,Sawyer,1Fam,1966,Gable,CBlock,TA,955,Ex,Y,955,0,955,1,0,1,0,3,1,TA,6,0,,Attchd,1,386,TA,0,0,,MnPrv,,2007,127000
51,51,RL,13869,Pave,,IR2,AllPub,Gtl,Gilbert,1Fam,1997,Gable,PConc,Gd,794,Gd,Y,794,676,1470,0,1,2,0,3,1,TA,6,0,,Attchd,2,388,TA,0,0,,,,2007,177000
52,52,RM,6240,Pave,,Reg,AllPub,Gtl,BrkSide,1Fam,1934,Gable,PConc,TA,816,TA,Y,816,0,1176,0,0,1,0,3,1,TA,6,1,Gd,Detchd,2,528,TA,112,0,,MnPrv,Shed,2006,114500
53,53,RM,8472,Grvl,,IR2,AllPub,Mod,IDOTRR,Duplex,1963,Gable,CBlock,Gd,816,TA,N,816,0,816,1,0,1,0,2,1,TA,5,0,,CarPort,2,516,TA,106,0,,,,2010,110000
54,54,RL,50271,Pave,,IR1,AllPub,Gtl,Veenker,1Fam,1981,Gable,CBlock,Ex,1842,Gd,Y,1842,0,1842,2,0,0,1,0,1,Gd,5,1,Gd,Attchd,3,894,TA,857,0,,,,2006,385000
55,55,RL,7134,Pave,,Reg,AllPub,Mod,NAmes,1Fam,1955,Gable,CBlock,TA,384,TA,Y,1360,0,1360,0,0,1,0,3,1,TA,6,1,TA,Detchd,2,572,TA,0,0,,MnPrv,,2007,130000
56,56,RL,10175,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1964,Gable,CBlock,TA,1425,Gd,Y,1425,0,1425,0,0,2,0,3,1,TA,7,1,Gd,Attchd,2,576,TA,0,0,,,,2008,180500
57,57,FV,2645,Pave,Pave,Reg,AllPub,Gtl,Somerst,Twnhs,1999,Gable,PConc,Gd,970,Ex,Y,983,756,1739,1,0,2,1,3,1,Gd,7,0,,Attchd,2,480,TA,115,0,,,,2009,172500
58,58,RL,11645,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,2004,Gable,PConc,Gd,860,Ex,Y,860,860,1720,0,0,2,1,3,1,Gd,7,0,,Attchd,2,565,TA,0,0,,,,2006,196500
59,59,RL,13682,Pave,,IR2,AllPub,Gtl,StoneBr,1Fam,2006,Hip,PConc,Ex,1410,Ex,Y,1426,1519,2945,0,0,3,1,3,1,Gd,10,1,Gd,BuiltIn,3,641,TA,192,0,,,,2006,438780
60,60,RL,7200,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,1972,Gable,CBlock,TA,780,Ex,Y,780,0,780,0,0,1,0,2,1,TA,4,0,,Detchd,1,352,TA,196,0,,MnPrv,,2008,124900
61,61,RL,13072,Pave,,Reg,AllPub,Gtl,SawyerW,1Fam,2004,Gable,PConc,Gd,1158,Ex,Y,1158,0,1158,1,0,1,1,3,1,Gd,5,0,,Detchd,2,576,TA,0,0,,,,2006,158000
62,62,RM,7200,Pave,,Reg,AllPub,Gtl,IDOTRR,1Fam,1920,Gable,BrkTil,TA,530,TA,N,581,530,1111,0,0,1,0,3,1,Fa,6,0,,Detchd,1,288,TA,0,0,,,,2007,101000
63,63,RL,6442,Pave,,IR1,AllPub,Gtl,NridgHt,TwnhsE,2006,Gable,PConc,Gd,1370,Ex,Y,1370,0,1370,0,0,2,0,2,1,Gd,6,1,Gd,Attchd,2,484,TA,120,0,,,,2007,202500
64,64,RM,10300,Pave,,IR1,AllPub,Gtl,OldTown,1Fam,1921,Gable,BrkTil,TA,576,Gd,Y,902,808,1710,0,0,2,0,3,1,TA,9,0,,Detchd,2,480,TA,12,0,,GdPrv,,2010,140000
65,65,RL,9375,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,1997,Gable,PConc,Gd,1057,Ex,Y,1057,977,2034,1,0,2,1,3,1,Gd,8,0,,Attchd,2,645,TA,576,0,,GdPrv,,2009,219500
66,66,RL,9591,Pave,,Reg,AllPub,Gtl,NridgHt,1Fam,2004,Gable,PConc,Ex,1143,Ex,Y,1143,1330,2473,0,0,2,1,4,1,Gd,9,1,Gd,BuiltIn,3,852,TA,192,0,,,,2007,317000
67,67,RL,19900,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1970,Gable,CBlock,Gd,1947,TA,Y,2207,0,2207,1,0,2,0,3,1,TA,7,1,Gd,Attchd,2,576,TA,301,0,,,,2010,180000
68,68,RL,10665,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,2003,Gable,PConc,Gd,1453,Ex,Y,1479,0,1479,1,0,2,0,3,1,Gd,7,0,,Attchd,2,558,TA,144,0,,,,2007,226000
69,69,RM,4608,Pave,,Reg,AllPub,Gtl,OldTown,1Fam,1945,Gable,CBlock,TA,747,TA,Y,747,0,747,0,0,1,0,2,1,TA,4,0,,Attchd,1,220,TA,0,0,,,,2010,80000
70,70,RL,15593,Pave,,Reg,AllPub,Gtl,ClearCr,1Fam,1953,Gable,CBlock,TA,1304,TA,Y,1304,983,2287,0,0,2,0,3,1,TA,7,1,TA,Attchd,2,667,TA,0,0,,,,2006,225000
71,71,RL,13651,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1973,Gable,CBlock,Gd,2223,Ex,Y,2223,0,2223,1,0,2,0,3,1,TA,8,2,Gd,Attchd,2,516,TA,300,0,,,,2007,244000
72,72,RL,7599,Pave,,Reg,AllPub,Gtl,Mitchel,1Fam,1982,Gable,CBlock,TA,845,TA,Y,845,0,845,1,0,1,0,2,1,TA,4,0,,Detchd,2,360,TA,0,0,,,,2007,129500
73,73,RL,10141,Pave,,IR1,AllPub,Gtl,Gilbert,1Fam,1998,Gable,PConc,Gd,832,Gd,Y,885,833,1718,0,0,2,1,3,1,TA,7,1,TA,Attchd,2,427,TA,0,0,,,,2009,185000
74,74,RL,10200,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1954,Gable,CBlock,TA,1086,Gd,Y,1086,0,1086,1,0,1,0,3,1,TA,6,0,,Attchd,2,490,TA,0,0,,GdWo,,2010,144900
75,75,RM,5790,Pave,,Reg,AllPub,Gtl,OldTown,1Fam,1915,Gambrel,CBlock,Fa,840,Gd,N,840,765,1605,0,0,2,0,3,2,TA,8,0,,Detchd,1,379,TA,0,0,,,,2010,107400
76,76,RM,1596,Pave,,Reg,AllPub,Gtl,MeadowV,Twnhs,1973,Gable,CBlock,Gd,462,TA,Y,526,462,988,1,0,1,0,2,1,TA,5,0,,BuiltIn,1,297,TA,120,0,,GdWo,,2009,91000
77,77,RL,8475,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1956,Gable,CBlock,TA,952,Ex,Y,952,0,952,0,0,1,0,2,1,TA,4,0,,Detchd,1,283,TA,0,0,,,,2008,135750
78,78,RM,8635,Pave,,Reg,AllPub,Gtl,BrkSide,1Fam,1948,Gable,CBlock,TA,672,TA,Y,1072,213,1285,1,0,1,0,2,1,TA,6,0,,Detchd,1,240,TA,0,0,,MnPrv,,2008,127000
79,79,RL,10778,Pave,,Reg,AllPub,Gtl,Sawyer,Duplex,1968,Hip,CBlock,TA,1768,TA,N,1768,0,1768,0,0,2,0,4,2,TA,8,0,,,0,0,,0,0,,,,2010,136500
80,80,RM,10440,Pave,Grvl,Reg,AllPub,Gtl,OldTown,1Fam,1910,Gable,PConc,TA,440,Gd,Y,682,548,1230,0,0,1,1,2,1,TA,5,0,,Detchd,2,440,TA,74,0,,MnPrv,,2009,110000
81,81,RL,13000,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1968,Gable,CBlock,Gd,896,TA,Y,1182,960,2142,0,0,2,1,4,1,Gd,8,1,Gd,Attchd,1,509,TA,0,0,,,,2009,193500
82,82,RM,4500,Pave,,Reg,AllPub,Gtl,Mitchel,TwnhsE,1998,Hip,PConc,Ex,1237,Ex,Y,1337,0,1337,1,0,2,0,2,1,TA,5,0,,Attchd,2,405,TA,0,0,,,,2006,153500
83,83,RL,10206,Pave,,Reg,AllPub,Gtl,Somerst,1Fam,2007,Gable,PConc,Gd,1563,Ex,Y,1563,0,1563,0,0,2,0,3,1,Gd,6,1,Gd,Attchd,3,758,TA,144,0,,,,2008,245000
84,84,RL,8892,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1960,Gable,CBlock,TA,1065,Gd,Y,1065,0,1065,0,0,1,1,3,1,TA,6,0,,Detchd,2,461,TA,74,0,,,,2007,126500
85,85,RL,8530,Pave,,IR1,AllPub,Gtl,Gilbert,1Fam,1995,Gable,PConc,Gd,384,Gd,Y,804,670,1474,0,0,2,1,3,1,TA,7,1,TA,BuiltIn,2,400,TA,120,0,,,Shed,2009,168500
86,86,RL,16059,Pave,,Reg,AllPub,Gtl,NoRidge,1Fam,1991,Hip,CBlock,Gd,1288,Ex,Y,1301,1116,2417,0,0,2,1,4,1,Gd,9,1,TA,Attchd,2,462,TA,127,0,,,,2006,260000
87,87,RL,11911,Pave,,IR2,AllPub,Gtl,Gilbert,1Fam,2005,Gable,PConc,Gd,684,Ex,Y,684,876,1560,0,0,2,1,3,1,Gd,6,1,Gd,BuiltIn,2,400,TA,100,0,,,,2009,174000
88,88,FV,3951,Pave,Pave,Reg,AllPub,Gtl,Somerst,TwnhsE,2009,Gable,PConc,Gd,612,Ex,Y,612,612,1224,0,0,2,1,2,1,Gd,4,0,,Detchd,2,528,TA,0,0,,,,2009,164500
89,89,C (all),8470,Pave,,IR1,AllPub,Gtl,IDOTRR,1Fam,1915,Hip,CBlock,TA,1013,TA,N,1013,0,1526,0,0,1,0,2,1,Fa,6,0,,,0,0,,0,0,,MnPrv,,2009,85000
90,90,RL,8070,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,1994,Gable,PConc,Gd,990,Ex,Y,990,0,990,1,0,1,0,3,1,TA,5,0,,,0,0,,0,0,,,,2007,123600
91,91,RL,7200,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1950,Gable,Slab,,0,TA,Y,1040,0,1040,0,0,1,0,2,1,TA,4,0,,Detchd,2,420,TA,0,0,,,,2006,109900
92,92,RL,8500,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1961,Hip,CBlock,TA,1235,TA,Y,1235,0,1235,0,0,1,0,2,1,TA,6,0,,Attchd,2,480,TA,0,0,,GdWo,,2006,98600
93,93,RL,13360,Pave,Grvl,IR1,AllPub,Gtl,Crawfor,1Fam,1921,Gable,BrkTil,Gd,876,Ex,Y,964,0,964,1,0,1,0,2,1,TA,5,0,,Detchd,2,432,TA,0,0,,,,2009,163500
94,94,C (all),7200,Pave,,Reg,AllPub,Gtl,OldTown,2fmCon,1910,Hip,BrkTil,TA,1214,Ex,N,1260,1031,2291,0,1,2,0,4,2,TA,9,1,Gd,Detchd,2,506,TA,0,0,,,,2007,133900
95,95,RL,9337,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,1997,Gable,PConc,Gd,824,Ex,Y,905,881,1786,1,0,2,1,3,1,Gd,7,0,,Attchd,2,684,TA,0,0,,,,2007,204750
96,96,RL,9765,Pave,,IR2,AllPub,Gtl,Gilbert,1Fam,1993,Gable,PConc,Gd,680,Gd,Y,680,790,1470,0,0,2,1,3,1,TA,6,1,TA,BuiltIn,2,420,TA,232,0,,,Shed,2009,185000
97,97,RL,10264,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,1999,Gable,PConc,Gd,1588,Ex,Y,1588,0,1588,0,0,2,0,3,1,Gd,6,0,,Attchd,2,472,TA,158,0,,,,2006,214000
98,98,RL,10921,Pave,,Reg,AllPub,Gtl,Edwards,1Fam,1965,Hip,CBlock,TA,960,TA,Y,960,0,960,1,0,1,0,3,1,TA,6,0,,Attchd,1,432,TA,120,0,,,,2007,94750
99,99,RL,10625,Pave,,Reg,AllPub,Gtl,Edwards,1Fam,1920,Gable,BrkTil,TA,458,Fa,N,835,0,835,0,0,1,0,2,1,TA,5,0,,Basment,1,366,Fa,0,0,,,Shed,2010,83000
100,100,RL,9320,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1959,Gable,CBlock,TA,950,Fa,Y,1225,0,1225,1,0,1,1,3,1,TA,6,0,,,0,0,,352,0,,,Shed,2010,128950
101,101,RL,10603,Pave,,IR1,AllPub,Gtl,NWAmes,1Fam,1977,Gable,PConc,TA,1610,Gd,Y,1610,0,1610,1,0,2,0,3,1,Gd,6,2,TA,Attchd,2,480,TA,168,0,,,,2010,205000
102,102,RL,9206,Pave,,Reg,AllPub,Gtl,SawyerW,1Fam,1985,Gable,CBlock,Gd,741,TA,Y,977,755,1732,0,0,2,1,3,1,Gd,7,1,TA,Attchd,2,476,TA,192,0,,,,2010,178000
103,103,RL,7018,Pave,,Reg,AllPub,Gtl,SawyerW,Duplex,1979,Gable,Slab,,0,TA,Y,1535,0,1535,0,0,2,0,4,2,TA,8,0,,Attchd,2,410,TA,0,0,,,,2009,118964
104,104,RL,10402,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,2009,Gable,PConc,Gd,1226,Ex,Y,1226,0,1226,0,0,2,0,3,1,Gd,6,0,,Attchd,3,740,TA,0,0,,,,2010,198900
105,105,RM,7758,Pave,,Reg,AllPub,Gtl,IDOTRR,1Fam,1931,Gable,PConc,TA,1040,Ex,Y,1226,592,1818,0,0,1,1,4,1,TA,7,2,TA,Detchd,1,240,TA,0,0,,,,2007,169500
106,106,FV,9375,Pave,,Reg,AllPub,Gtl,Somerst,1Fam,2003,Hip,PConc,Ex,1053,Ex,Y,1053,939,1992,0,0,2,1,3,1,Gd,9,1,Gd,Attchd,2,648,TA,140,0,,,,2008,250000
107,107,RM,10800,Pave,Grvl,Reg,AllPub,Gtl,OldTown,1Fam,1885,Mansard,BrkTil,Fa,641,Gd,Y,1047,0,1047,0,0,1,0,2,1,TA,6,0,,Detchd,1,273,Fa,0,0,,,Shed,2007,100000
108,108,RM,6000,Pave,,Reg,AllPub,Gtl,OldTown,1Fam,1948,Gable,CBlock,TA,789,Ex,Y,789,0,789,0,0,1,0,2,1,TA,5,0,,Detchd,1,250,TA,0,0,,,,2008,115000
109,109,RM,8500,Pave,,Reg,AllPub,Gtl,IDOTRR,1Fam,1919,Gable,CBlock,TA,793,TA,N,997,520,1517,0,0,2,0,3,1,Fa,7,0,,,0,0,,0,0,,,,2007,115000
110,110,RL,11751,Pave,,IR1,AllPub,Gtl,NWAmes,1Fam,1977,Hip,CBlock,Gd,1844,Ex,Y,1844,0,1844,0,0,2,0,3,1,TA,7,1,TA,Attchd,2,546,TA,0,0,,MnPrv,,2010,190000
111,111,RL,9525,Pave,,Reg,AllPub,Gtl,Edwards,1Fam,1954,Gable,CBlock,TA,994,Gd,Y,1216,639,1855,0,0,2,0,4,1,TA,7,0,,Attchd,1,325,TA,182,0,,,,2006,136900
112,112,RL,7750,Pave,,IR1,AllPub,Gtl,Gilbert,1Fam,2000,Gable,PConc,Gd,384,Ex,Y,774,656,1430,0,0,2,1,3,1,TA,7,1,TA,BuiltIn,2,400,TA,180,0,,,,2010,180000
